area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,latitude,longitude,distance,market_pierwotny,market_wtórny,form of ownership_pełna własność,form of ownership_spółdzielcze wł. prawo do lokalu,form of ownership_udział,form of ownership_użytkowanie wieczyste / dzierżawa,district_Bieńczyce,district_Bieżanów-Prokocim,district_Bronowice,district_Czyżyny,district_Dębniki,district_Grzegórzki,district_Krowodrza,district_Mistrzejowice,district_Nowa Huta,district_Podgórze,district_Podgórze Duchackie,district_Prądnik Biały,district_Prądnik Czerwony,district_Stare Miasto,district_Swoszowice,district_Wzgórza Krzesławickie,district_Zwierzyniec,district_Łagiewniki-Borek Fałęcki
49.7,12655.94,1,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48.77,13307.36,1,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47.0,14042.55,4,4,3,2019.0,True,50.022046,20.0461313,8.943634438628886,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56.02,11942.16,3,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56.65,11985.88,1,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48.73,14159.66,1,4,2,2019.0,True,50.022046,20.0461313,8.943634438628886,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65.73,11300.0,2,4,2,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65.73,11300.0,3,4,2,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65.73,11395.1,1,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65.73,11395.1,2,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53.28,14996.25,1,4,3,2022.0,True,50.022046,20.0461313,8.943634438628886,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
