,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material,location,latitude,longitude
4859,https://www.otodom.pl/pl/oferta/3-pokoje-osobna-kuchnia-balkon-konrada-wallenroda-ID4pz12,3 pokoje|osobna kuchnia|balkon|Konrada Wallenroda,"Konrada Wallenroda 59, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",649000.0,54.5,11908.0,6,10,3,1970.0,False,wtórny,spółdzielcze wł. prawo do lokalu,do remontu,670.0,miejskie,biuro nieruchomości,True,balkon,blok,wielka płyta,"59, Konrada Wallenroda, Nowy Prokocim, Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-867, Polska",50.01688705,20.003290664149617
4860,https://www.otodom.pl/pl/oferta/3-pokoje-osobna-kuchnia-do-remontu-ID4pDBy,"3 pokoje, osobna kuchnia, do remontu","Konrada Wallenroda, Teligi, Wielicka, Bieżanowska, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",649000.0,54.5,11908.0,6,10,5,2013.0,False,pierwotny,spółdzielcze wł. prawo do lokalu,do remontu,760.0,miejskie,biuro nieruchomości,True,balkon,blok,żelbet,"Konrada Wallenroda, Nowy Prokocim, Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-867, Polska",50.0176748,20.0011197
4861,https://www.otodom.pl/pl/oferta/kawalerka-z-osobna-kuchnia-ID4pOxh,Kawalerka z osobną kuchnią.,"Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",499000.0,34.54,14447.0,3,4,1,2008.0,True,wtórny,pełna własność,brak informacji,270.0,gazowe,biuro nieruchomości,False,balkon,blok,cegła,"Kordiana, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",50.0099957,19.9619085
4862,https://www.otodom.pl/pl/oferta/3pok-sprzedaz-kordiana-ID4pwqV,3pok | Sprzedaż | Kordiana,"Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",639999.0,53.0,12075.0,0,3,3,2007.0,True,wtórny,pełna własność,do zamieszkania,330.0,gazowe,biuro nieruchomości,False,balkon,blok,żelbet,"Kordiana, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",50.0099957,19.9619085
4863,https://www.otodom.pl/pl/oferta/2-pok-53-m-2-balkon-kurdwanow-ul-kordiana-201-ID4pq84,2 pok. /53 M 2/ balkon /Kurdwanów/ul. Kordiana/201,"Kordiana/201, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",640000.0,53.1,12053.0,0,3,2,2011.0,False,wtórny,pełna własność,do zamieszkania,300.0,gazowe,biuro nieruchomości,False,balkon,blok,inny,"Kordiana, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",50.0099957,19.9619085
4864,https://www.otodom.pl/pl/oferta/2pokojowe-z-tarasem-wylacznosc-ID4qcfC,2pokojowe z tarasem/wyłączność,"Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",680000.0,43.0,15814.0,3,5,2,2018.0,False,wtórny,pełna własność,do zamieszkania,541.1313434298921,brak informacji,biuro nieruchomości,False,"balkon, taras",brak informacji,brak informacji,"Kordiana, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",50.0099957,19.9619085
4865,https://www.otodom.pl/pl/oferta/podgorze-duchackie-ul-kordiana-55-m2-3-pok-ID4oNvz,Podgórze Duchackie | ul. Kordiana | 55 m2 | 3 pok,"Kordiana | 55, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",685000.0,55.0,12455.0,0,4,3,2007.0,True,wtórny,pełna własność,do zamieszkania,366.0,gazowe,biuro nieruchomości,False,balkon,blok,pustak,"Kordiana, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",50.0099957,19.9619085
4866,https://www.otodom.pl/pl/oferta/komfortowe-zycie-3-pok-z-balkonem-podgorze-krakow-ID4pTMf,"Komfortowe życie 3-pok z balkonem Podgórze, Kraków","Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",725900.0,61.0,11900.0,4,4,3,1990.0,False,wtórny,pełna własność,do zamieszkania,541.1313434298921,brak informacji,biuro nieruchomości,False,balkon,blok,brak informacji,"Kordiana, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",50.0099957,19.9619085
4867,https://www.otodom.pl/pl/oferta/mieszkanie-dla-rodziny-kameralny-budynek-ID4i8JP,Mieszkanie dla rodziny / kameralny budynek,"Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",1599000.0,133.88,11944.0,0,3,5,2010.0,False,wtórny,pełna własność,do zamieszkania,1111.0,miejskie,biuro nieruchomości,False,"balkon, taras",blok,pustak,"Kordiana, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",50.0099957,19.9619085
4868,https://www.otodom.pl/pl/oferta/salwator-suterena-ujejskiego-18-37-m2-ID4phEW,"Salwator, Suterena, Ujejskiego, 18,37 m2","Kornela Ujejskiego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",265000.0,18.37,14426.0,-1,4,1,1956.0,False,wtórny,pełna własność,do remontu,100.0,brak informacji,biuro nieruchomości,False,None,brak informacji,brak informacji,"Kornela Ujejskiego, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-102, Polska",50.0568145,19.9246628
