,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,parking space details,location,latitude,longitude,distance,district
6110,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24275287.html",Mieszkanie,"Saska, Zabłocie, Kraków, małopolskie",990944.0,55.36,17900.0,1,5,3,2023.0,True,wtórny,pełna własność,tak,"Saska, Zagumnie, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-720, Polska",50.0409028,19.9833069,4.026692933810445,Podgórze
6111,"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24572836.html","Mieszkanie, ul. Saska","Saska, Zabłocie, Kraków, małopolskie",1208429.0,67.51,17900.0,0,5,4,2022.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Saska, Zagumnie, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-720, Polska",50.0409028,19.9833069,4.026692933810445,Podgórze
6112,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24773256.html",Kawalerka,"Sebastiana, Kazimierz, Kraków, małopolskie",550000.0,20.0,27500.0,2,4,1,1898.0,False,wtórny,pełna własność,parking strzeżony w pobliżu,"Świętego Sebastiana, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-050, Polska",50.0551507,19.9444402,0.902701815749213,Stare Miasto
6113,"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24767886.html","Kawalerka, ul. Sebastiana","Sebastiana, Kazimierz, Kraków, małopolskie",887340.0,26.97,32901.0,0,3,1,2023.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Świętego Sebastiana, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-050, Polska",50.0551507,19.9444402,0.902701815749213,Stare Miasto
6114,"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24792115.html","Kawalerka, ul. Sebastiana","Sebastiana, Kraków, małopolskie",584000.0,20.0,29200.0,2,3,1,1896.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Sebastiana Klonowica, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-654, Polska",50.0202294,19.9561864,4.820777898654388,Podgórze Duchackie
6115,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24591242.html","Kawalerka, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",584000.0,19.54,29887.41,2,3,1,1896.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6116,"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24879408.html","Kawalerka, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",584000.0,20.0,29200.0,2,3,1,1896.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6117,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24851473.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",952000.0,64.0,14875.0,1,3,2,1904.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6118,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/21864031.html","Kawalerka, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1000400.0,25.01,40000.0,1,4,1,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6119,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/21864030.html","Kawalerka, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1035600.0,25.89,40000.0,2,4,1,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
